,Date,price_bitcoin,open_bitcoin,high_bitcoin,low_bitcoin,vol_bitcoin,Change_bitcoin %,Price,Open,High,Low,Vol.,Change %,price_dowjones,open_dowjones,high_dowjones,low_dowjones,vol_dowjones,change_dowjones,price_nasdaq,open_nasdaq,high_nasdaq,low_nasdaq,vol_nasdaq,change_nasdaq,price_sp,open_sp,high_sp,low_sp,vol_sp,change_sp,trend_bitcoins
13,2021-04-01,"58,718.30","58,763.20","59,406.50","58,040.70",69.04K,-0.08%,"58,727.40","58,796.00","59,172.90","58,498.00",4.35K,-0.12%,"33,153.21","33,054.58","33,167.17","32,985.35",318.34M,0.52%,"13,480.11","13,414.33","13,487.08","13,404.18",939.16M,1.76%,"4,019.87","3,992.78","4,020.63","3,992.78",-,1.18%,41.0
14,2021-03-31,"58,763.70","58,771.40","59,795.60","56,991.60",98.06K,-0.01%,"58,796.00","58,841.00","59,453.00","57,698.00",8.12K,-0.08%,"32,981.55","33,116.04","33,173.77","32,980.57",418.64M,-0.26%,"13,246.87","13,122.57","13,325.54","13,118.38",1.21B,1.54%,"3,972.89","3,967.25","3,994.41","3,966.98",-,0.36%,41.0
15,2021-03-30,"58,771.30","57,614.60","59,366.90","57,077.10",86.21K,2.00%,"58,841.00","57,672.30","59,349.00","57,278.00",7.87K,2.03%,"33,066.96","33,127.88","33,170.93","32,988.92",309.57M,-0.31%,"13,045.39","13,008.80","13,075.75","12,922.57",983.51M,-0.11%,"3,958.55","3,963.34","3,968.01","3,944.35",-,-0.32%,38.0
16,2021-03-29,"57,616.20","55,764.70","58,392.60","54,951.10",107.91K,3.32%,"57,672.30","55,773.00","58,162.00","54,984.00",10.12K,3.41%,"33,171.37","33,087.55","33,259.00","32,905.13",351.61M,0.30%,"13,059.65","13,103.97","13,143.41","12,968.16",1.06B,-0.60%,"3,971.09","3,969.31","3,981.83","3,943.25",-,-0.09%,44.0
17,2021-03-28,"55,765.20","55,856.90","56,504.20","54,711.30",58.71K,-0.17%,"55,773.00","55,886.00","56,326.00","55,089.00",4.21K,-0.20%,,,,,,,,,,,,,,,,,,,39.0
18,2021-03-27,"55,862.90","55,033.80","56,531.10","54,010.20",73.87K,1.50%,"55,886.00","54,992.90","56,249.00","54,373.00",5.18K,1.62%,,,,,,,,,,,,,,,,,,,39.0
19,2021-03-26,"55,036.10","51,317.40","55,074.10","51,302.00",100.30K,7.24%,"54,992.90","51,363.00","54,992.90","51,363.00",7.71K,7.07%,"33,072.88","32,681.07","33,098.83","32,681.07",383.45M,1.39%,"13,138.72","12,996.03","13,149.55","12,878.72",1.14B,1.24%,"3,974.54","3,917.12","3,978.19","3,917.12",-,1.66%,36.0
20,2021-03-25,"51,322.30","52,330.00","53,175.40","50,441.30",143.35K,-1.92%,"51,363.00","52,347.20","52,926.00","50,874.00",11.59K,-1.88%,"32,619.48","32,346.81","32,672.69","32,071.41",413.49M,0.62%,"12,977.68","12,844.58","13,021.86","12,786.81",1.17B,0.12%,"3,909.52","3,879.34","3,919.54","3,853.50",-,0.52%,44.0
21,2021-03-24,"52,325.40","54,309.10","57,169.40","51,725.40",137.91K,-3.91%,"52,347.20","54,331.00","56,919.00","52,347.20",14.08K,-3.65%,"32,420.06","32,470.88","32,787.99","32,418.15",405.06M,-0.01%,"12,961.89","13,289.24","13,292.92","12,961.35",1.19B,-2.01%,"3,889.14","3,919.93","3,942.08","3,889.07",-,-0.55%,48.0
22,2021-03-23,"54,452.50","54,117.50","55,813.80","52,992.30",84.84K,0.54%,"54,331.00","54,074.00","55,646.90","53,541.20",6.57K,0.48%,"32,423.15","32,691.50","32,753.77","32,356.28",388.13M,-0.94%,"13,227.70","13,381.43","13,405.14","13,202.43",1.19B,-1.12%,"3,910.52","3,937.60","3,949.13","3,901.57",-,-0.76%,34.0
23,2021-03-22,"54,158.30","57,379.30","58,379.90","53,784.20",95.53K,-5.62%,"54,074.00","57,368.00","58,036.00","54,074.00",8.72K,-5.74%,"32,731.20","32,601.82","32,810.35","32,512.53",384.32M,0.32%,"13,377.54","13,278.78","13,455.64","13,278.78",1.11B,1.23%,"3,940.59","3,916.48","3,955.31","3,914.16",-,0.70%,45.0
24,2021-03-21,"57,383.80","58,097.40","58,583.80","55,583.30",77.47K,-1.22%,"57,368.00","58,087.00","58,499.50","56,200.00",8.29K,-1.24%,,,,,,,,,,,,,,,,,,,35.0
25,2021-03-20,"58,093.40","58,084.10","59,882.10","57,863.00",67.83K,0.01%,"58,087.00","58,074.00","59,421.00","58,074.00",6.78K,0.02%,,,,,,,,,,,,,,,,,,,39.0
26,2021-03-19,"58,088.00","57,645.00","59,448.30","56,305.10",83.98K,0.75%,"58,074.00","57,640.00","58,961.00","57,030.00",6.48K,0.75%,"32,627.97","32,858.36","32,858.36","32,505.07",847.02M,-0.71%,"13,215.24","13,119.90","13,252.37","13,039.45",2.93B,0.76%,"3,913.10","3,913.14","3,930.12","3,886.75",-,-0.06%,41.0
27,2021-03-18,"57,656.00","58,911.80","60,088.00","57,099.60",102.62K,-2.13%,"57,640.00","58,870.00","59,799.00","57,580.00",7.24K,-2.09%,"32,862.30","32,928.16","33,227.78","32,831.25",421.02M,-0.46%,"13,116.17","13,349.20","13,384.46","13,101.92",1.22B,-3.02%,"3,915.46","3,953.50","3,969.62","3,910.86",-,-1.48%,44.0
28,2021-03-17,"58,913.50","56,892.90","58,933.20","54,253.20",118.26K,3.56%,"58,870.00","56,924.00","58,870.00","54,576.00",11.27K,3.42%,"33,015.37","32,825.52","33,047.58","32,782.18",391.81M,0.58%,"13,525.20","13,336.92","13,595.00","13,272.69",1.18B,0.40%,"3,974.12","3,949.57","3,983.87","3,935.74",-,0.29%,44.0
29,2021-03-16,"56,889.70","55,619.50","56,889.70","53,342.60",128.51K,1.97%,"56,924.00","55,644.00","56,924.00","54,049.00",10.49K,2.30%,"32,825.95","32,966.75","32,966.75","32,778.23",387.91M,-0.39%,"13,471.57","13,523.17","13,620.71","13,397.08",1.10B,0.09%,"3,962.71","3,973.59","3,981.04","3,953.44",-,-0.16%,49.0
30,2021-03-15,"55,791.30","59,117.40","60,565.90","55,088.80",117.71K,-5.62%,"55,644.00","59,005.00","60,141.10","55,644.00",14.78K,-5.70%,"32,953.46","32,798.84","32,973.40","32,629.75",362.08M,0.53%,"13,459.71","13,323.47","13,460.35","13,272.50",1.13B,1.05%,"3,968.94","3,942.96","3,970.08","3,923.54",-,0.65%,47.0
31,2021-03-14,"59,113.70","61,192.70","61,673.70","59,113.70",80.29K,-3.40%,"59,005.00","61,207.00","61,468.00","59,005.00",6.64K,-3.60%,,,,,,,,,,,,,,,,,,,64.0
32,2021-03-13,"61,195.30","57,267.40","61,795.80","56,118.80",134.64K,6.86%,"61,207.00","57,315.00","61,207.00","56,488.00",13.70K,6.79%,,,,,,,,,,,,,,,,,,,51.0
33,2021-03-12,"57,265.10","57,806.20","58,052.30","55,134.50",116.96K,-0.92%,"57,315.00","57,869.00","57,869.00","55,946.00",9.56K,-0.96%,"32,778.64","32,462.40","32,793.32","32,462.40",348.29M,0.90%,"13,319.87","13,222.81","13,324.69","13,158.72",1.09B,-0.59%,"3,943.34","3,924.52","3,944.99","3,915.21",-,0.10%,47.0
34,2021-03-11,"57,799.50","55,851.20","58,135.00","54,351.80",129.63K,3.49%,"57,869.00","55,939.00","57,921.00","54,834.00",8.66K,3.42%,"32,485.59","32,354.50","32,661.59","32,345.70",402.40M,0.58%,"13,398.67","13,273.31","13,433.62","13,246.33",1.19B,2.52%,"3,939.34","3,915.54","3,960.27","3,915.54",-,1.04%,52.0
35,2021-03-10,"55,851.90","54,882.70","57,328.70","53,073.60",140.96K,1.77%,"55,955.20","54,950.00","57,033.00","53,698.70",10.68K,1.83%,"32,297.02","31,906.96","32,389.50","31,906.96",410.23M,1.46%,"13,068.83","13,234.73","13,277.11","13,035.44",1.22B,-0.04%,"3,898.81","3,891.99","3,917.35","3,885.73",-,0.60%,48.0
36,2021-03-09,"54,879.00","52,352.40","54,880.60","51,941.30",114.06K,4.91%,"54,949.40","52,395.00","54,949.40","52,395.00",8.20K,4.88%,"31,832.74","31,892.35","32,150.32","31,822.64",463.74M,0.10%,"13,073.83","12,923.07","13,151.54","12,882.49",1.28B,3.69%,"3,875.44","3,851.93","3,903.76","3,851.93",-,1.42%,44.0
37,2021-03-08,"52,311.00","50,988.90","52,384.90","49,338.10",68.14K,2.61%,"52,395.00","51,031.20","52,395.00","49,821.00",6.15K,2.67%,"31,802.44","31,512.15","32,148.04","31,512.15",499.58M,0.97%,"12,609.16","12,904.26","13,001.00","12,599.23",1.27B,-2.41%,"3,821.35","3,844.39","3,881.06","3,819.25",-,-0.54%,35.0
38,2021-03-07,"50,982.30","48,899.00","51,434.10","48,890.60",82.91K,4.35%,"51,031.20","48,895.00","51,031.20","48,895.00",5.37K,4.37%,,,,,,,,,,,,,,,,,,,44.0
39,2021-03-06,"48,855.60","48,798.70","49,191.80","47,132.80",66.66K,0.13%,"48,895.00","48,811.00","49,043.10","47,515.40",4.21K,0.17%,,,,,,,,,,,,,,,,,,,27.0
40,2021-03-05,"48,792.50","48,363.60","49,429.40","46,370.10",113.64K,0.75%,"48,811.00","48,368.00","49,277.00","46,662.00",9.42K,0.92%,"31,496.30","31,029.18","31,580.33","30,766.81",505.35M,1.85%,"12,920.15","12,860.04","12,941.21","12,397.05",1.56B,1.55%,"3,841.94","3,793.58","3,851.69","3,730.19",-,1.95%,34.0
41,2021-03-04,"48,428.00","50,388.00","51,757.70","47,521.80",9.56K,-3.90%,"48,368.00","50,425.00","51,556.00","48,059.00",9.56K,-4.08%,"30,924.14","31,289.01","31,461.97","30,547.53",551.23M,-1.11%,"12,723.47","12,953.99","13,068.71","12,553.96",1.58B,-2.11%,"3,768.47","3,818.53","3,843.67","3,723.34",-,-1.34%,44.0
42,2021-03-03,"50,395.10","48,422.20","52,567.90","48,159.20",44.93K,4.07%,"50,425.00","48,526.00","52,018.00","48,526.00",8.60K,3.91%,"31,270.09","31,352.96","31,563.31","31,260.14",411.61M,-0.39%,"12,997.75","13,336.25","13,372.52","12,995.07",1.16B,-2.70%,"3,819.72","3,863.99","3,874.47","3,818.86",-,-1.31%,55.0
43,2021-03-02,"48,424.20","49,595.60","50,191.90","47,100.60",102.10K,-2.36%,"48,526.00","49,572.00","49,572.00","47,453.60",8.37K,-2.11%,"31,391.52","31,535.37","31,623.27","31,377.16",341.28M,-0.46%,"13,358.79","13,599.45","13,601.33","13,352.00",1.08B,-1.69%,"3,870.29","3,903.64","3,906.41","3,868.57",-,-0.81%,60.0
44,2021-03-01,"49,595.50","45,160.50","49,774.00","45,008.80",137.52K,9.81%,"49,572.00","45,300.00","49,572.00","45,300.00",9.42K,9.43%,"31,535.51","31,065.90","31,668.34","31,065.90",387.58M,1.95%,"13,588.83","13,406.16","13,596.59","13,362.66",1.10B,3.01%,"3,901.82","3,842.51","3,914.50","3,842.51",-,2.38%,46.0
45,2021-02-28,"45,164.00","46,136.00","46,582.00","43,100.60",135.08K,-2.11%,"45,300.00","46,217.00","46,360.50","43,380.00",13.54K,-1.98%,,,,,,,,,,,,,,,,,,,58.0
46,2021-02-27,"46,136.70","46,333.10","48,335.10","45,059.40",98.75K,-0.45%,"46,217.00","46,319.00","47,766.90","46,217.00",7.60K,-0.22%,,,,,,,,,,,,,,,,,,,43.0
47,2021-02-26,"46,345.60","46,928.50","48,413.90","44,248.20",189.41K,-1.24%,"46,319.00","47,144.00","48,250.00","45,320.00",22.33K,-1.75%,"30,932.37","31,401.29","31,450.89","30,911.37",538.91M,-1.50%,"13,192.34","13,232.90","13,368.06","13,024.53",1.44B,0.56%,"3,811.15","3,839.66","3,861.08","3,789.54",-,-0.48%,61.0
48,2021-02-25,"46,928.50","49,695.90","52,013.80","46,773.70",83.22K,-5.57%,"47,144.00","49,715.00","51,511.00","47,144.00",9.55K,-5.17%,"31,402.01","31,955.94","31,984.77","31,293.32",458.96M,-1.75%,"13,119.43","13,512.64","13,602.86","13,066.38",1.33B,-3.52%,"3,829.34","3,915.80","3,925.02","3,814.04",-,-2.45%,71.0
49,2021-02-24,"49,697.50","48,911.10","51,311.80","47,031.70",153.75K,1.61%,"49,715.00","48,888.00","51,043.00","47,179.00",12.00K,1.69%,"31,961.86","31,499.75","32,009.64","31,421.29",413.35M,1.35%,"13,597.97","13,400.25","13,607.36","13,286.59",1.24B,0.99%,"3,925.43","3,873.71","3,928.65","3,859.60",-,1.14%,71.0
50,2021-02-23,"48,911.20","54,114.10","54,115.00","45,093.80",315.07K,-9.61%,"48,888.00","54,078.00","54,078.00","45,343.50",32.59K,-9.60%,"31,537.35","31,501.89","31,653.38","31,158.76",461.92M,0.05%,"13,465.20","13,262.61","13,526.09","13,003.98",1.64B,-0.50%,"3,881.37","3,857.07","3,895.98","3,805.59",-,0.13%,69.0
51,2021-02-22,"54,111.80","57,437.60","57,480.80","48,353.80",244.95K,-5.78%,"54,078.00","57,376.00","57,376.00","48,383.00",27.31K,-5.75%,"31,521.69","31,381.12","31,653.48","31,286.57",389.68M,0.09%,"13,533.05","13,714.20","13,757.06","13,530.96",1.37B,-2.46%,"3,876.50","3,885.55","3,902.92","3,874.71",-,-0.77%,83.0
52,2021-02-21,"57,433.80","55,907.60","58,335.10","55,502.70",87.26K,2.70%,"57,376.00","55,838.00","58,238.00","55,639.00",6.69K,2.75%,,,,,,,,,,,,,,,,,,,90.0
53,2021-02-20,"55,923.70","55,922.00","57,523.80","54,124.10",127.85K,0.03%,"55,838.00","55,847.00","57,352.00","55,182.00",11.63K,-0.02%,,,,,,,,,,,,,,,,,,,81.0
54,2021-02-19,"55,906.60","51,590.10","56,238.50","50,816.80",139.43K,8.38%,"55,847.00","51,566.00","56,093.00","51,079.00",11.80K,8.30%,"31,494.32","31,504.13","31,647.53","31,469.34",353.07M,0.00%,"13,874.46","13,929.20","13,985.58","13,842.60",1.31B,0.07%,"3,906.71","3,921.16","3,930.41","3,903.07",-,-0.19%,80.0
55,2021-02-18,"51,582.20","52,094.50","52,524.00","50,941.60",94.35K,-0.95%,"51,566.00","52,060.00","52,433.00","51,356.90",5.87K,-0.95%,"31,493.34","31,558.60","31,558.60","31,285.32",325.99M,-0.38%,"13,865.36","13,814.67","13,905.96","13,714.35",1.24B,-0.72%,"3,913.97","3,915.86","3,921.98","3,885.03",-,-0.44%,82.0
56,2021-02-17,"52,079.20","49,161.30","52,577.70","49,018.10",140.03K,5.92%,"52,060.00","49,225.00","52,284.00","49,225.00",9.21K,5.76%,"31,613.02","31,485.61","31,643.70","31,338.76",345.86M,0.29%,"13,965.50","13,911.65","13,976.43","13,804.26",1.35B,-0.58%,"3,931.33","3,918.50","3,933.61","3,900.43",-,-0.03%,87.0
57,2021-02-16,"49,169.70","47,934.20","50,515.80","47,044.40",141.37K,2.57%,"49,225.00","47,941.00","49,533.50","47,643.00",13.04K,2.68%,"31,522.75","31,472.08","31,608.63","31,443.48",336.99M,0.20%,"14,047.50","14,152.21","14,175.12","13,995.45",1.49B,-0.34%,"3,932.59","3,939.61","3,950.43","3,923.85",-,-0.06%,68.0
58,2021-02-15,"47,936.30","48,611.10","48,936.50","45,786.10",123.18K,-1.45%,"47,941.00","48,587.00","48,694.00","46,563.00",9.88K,-1.33%,,,,,,,,,,,,,,,,,,,65.0
59,2021-02-14,"48,643.40","47,172.10","49,695.10","47,051.90",106.50K,3.13%,"48,587.00","47,177.00","49,279.00","47,177.00",7.34K,2.99%,,,,,,,,,,,,,,,,,,,68.0
60,2021-02-13,"47,168.70","47,373.10","48,097.30","46,270.50",89.42K,-0.43%,"47,177.00","47,389.00","47,939.00","46,582.00",5.23K,-0.45%,,,,,,,,,,,,,,,,,,,58.0
61,2021-02-12,"47,371.70","47,995.00","48,927.40","46,218.60",133.73K,-1.29%,"47,389.00","47,966.00","48,540.00","47,072.00",10.79K,-1.20%,"31,458.40","31,420.80","31,475.31","31,347.80",266.37M,0.09%,"14,095.47","13,979.21","14,102.04","13,937.71",1.32B,0.50%,"3,934.83","3,911.65","3,937.23","3,905.78",-,0.47%,67.0
62,2021-02-11,"47,990.70","44,834.80","48,622.10","44,041.10",145.77K,7.04%,"47,966.00","44,835.00","47,981.00","44,444.00",10.30K,6.98%,"31,430.70","31,466.49","31,543.82","31,244.36",284.68M,-0.02%,"14,025.77","14,045.21","14,058.91","13,916.84",1.98B,0.38%,"3,916.38","3,916.40","3,925.99","3,890.39",-,0.17%,69.0
63,2021-02-10,"44,836.00","46,507.80","47,295.30","43,800.50",151.83K,-3.60%,"44,835.00","46,486.00","47,056.00","44,541.00",10.02K,-3.55%,"31,437.80","31,428.02","31,511.44","31,221.32",328.39M,0.20%,"13,972.53","14,093.35","14,109.12","13,845.47",1.83B,-0.25%,"3,909.88","3,920.78","3,931.50","3,884.94",-,-0.03%,87.0
64,2021-02-09,"46,508.60","46,396.40","48,143.50","45,104.70",193.87K,0.24%,"46,486.00","46,440.00","48,004.00","45,882.00",15.90K,0.10%,"31,375.83","31,359.88","31,439.47","31,245.86",310.14M,-0.03%,"14,007.70","13,966.82","14,044.95","13,966.55",1.52B,0.14%,"3,911.23","3,910.49","3,918.35","3,902.64",-,-0.11%,100.0
65,2021-02-08,"46,395.70","38,853.60","46,596.40","38,057.00",248.47K,19.41%,"46,440.00","38,841.00","46,440.00","38,250.00",24.79K,19.56%,"31,385.76","31,191.20","31,386.10","31,191.20",328.41M,0.76%,"13,987.64","13,937.06","13,987.74","13,894.15",1.61B,0.95%,"3,915.59","3,892.59","3,915.77","3,892.59",-,0.74%,85.0
66,2021-02-07,"38,852.90","39,228.90","39,691.70","37,381.60",125.37K,-1.03%,"38,841.00","39,257.00","39,561.00","38,061.00",7.63K,-1.06%,,,,,,,,,,,,,,,,,,,41.0
67,2021-02-06,"39,256.60","38,300.60","40,939.70","38,275.30",156.02K,2.50%,"39,257.00","38,260.00","40,780.00","38,260.00",10.18K,2.61%,,,,,,,,,,,,,,,,,,,58.0
68,2021-02-05,"38,297.60","36,976.40","38,303.60","36,640.00",100.60K,3.56%,"38,260.00","36,975.00","38,260.00","36,759.00",4.48K,3.48%,"31,148.24","31,093.81","31,252.18","31,083.22",295.00M,0.30%,"13,856.30","13,824.88","13,878.16","13,761.66",1.26B,0.57%,"3,886.83","3,878.30","3,894.56","3,874.93",-,0.39%,44.0
69,2021-02-04,"36,982.10","37,648.90","38,707.90","36,380.80",151.44K,-1.77%,"36,975.00","37,677.00","37,998.00","36,521.00",6.42K,-1.86%,"31,055.86","30,737.78","31,065.96","30,737.78",341.49M,1.08%,"13,777.74","13,674.06","13,778.42","13,631.62",1.29B,1.23%,"3,871.74","3,836.66","3,872.42","3,836.66",-,1.09%,46.0
70,2021-02-03,"37,646.80","35,486.90","37,646.80","35,401.50",131.03K,6.09%,"37,677.00","35,563.00","37,677.00","35,563.00",8.80K,5.94%,"30,723.60","30,689.65","30,793.41","30,521.31",307.31M,0.12%,"13,610.54","13,718.31","13,723.83","13,585.34",1.36B,-0.02%,"3,830.17","3,840.27","3,847.51","3,816.68",-,0.10%,43.0
71,2021-02-02,"35,485.20","33,514.00","35,976.10","33,462.40",120.85K,5.88%,"35,563.00","33,559.00","35,960.00","33,559.00",7.01K,5.97%,"30,687.48","30,276.88","30,840.54","30,276.88",338.17M,1.57%,"13,612.78","13,543.10","13,652.70","13,535.86",1.43B,1.56%,"3,826.31","3,791.84","3,843.09","3,791.84",-,1.39%,41.0
72,2021-02-01,"33,515.70","33,106.80","34,685.60","32,324.90",126.32K,1.23%,"33,559.00","33,141.00","34,460.10","32,595.00",5.30K,1.26%,"30,211.91","30,054.73","30,335.91","30,014.97",350.24M,0.76%,"13,403.39","13,226.18","13,431.46","13,132.47",1.39B,2.55%,"3,773.86","3,731.17","3,784.32","3,725.62",-,1.61%,49.0
73,2021-01-31,"33,108.10","34,281.60","34,348.30","32,189.90",101.92K,-3.43%,"33,141.00","34,334.00","34,334.00","32,270.00",5.82K,-3.47%,,,,,,,,,,,,,,,,,,,49.0
74,2021-01-30,"34,283.10","34,300.00","34,920.90","32,908.50",128.57K,-0.05%,"34,334.00","34,268.00","34,791.00","33,136.60",7.29K,0.16%,,,,,,,,,,,,,,,,,,,50.0
75,2021-01-29,"34,301.80","33,381.70","38,546.00","31,953.30",297.73K,2.78%,"34,280.70","33,350.00","38,056.00","32,466.00",28.64K,2.85%,"29,982.62","30,553.91","30,553.91","29,856.30",538.04M,-2.03%,"13,070.70","13,284.72","13,322.00","12,985.05",1.78B,-2.00%,"3,714.24","3,778.05","3,778.05","3,694.12",-,-1.93%,69.0
76,2021-01-28,"33,374.80","30,408.90","33,790.80","29,911.90",167.39K,9.77%,"33,331.00","30,454.00","33,418.00","30,344.00",9.17K,9.45%,"30,603.36","30,377.19","30,951.41","30,377.19",467.34M,0.99%,"13,337.16","13,323.29","13,507.64","13,316.52",2.16B,0.50%,"3,787.38","3,755.75","3,830.50","3,755.75",-,0.98%,44.0
77,2021-01-27,"30,404.00","32,499.60","32,545.40","29,290.40",194.35K,-6.46%,"30,454.00","32,519.00","32,519.00","29,815.00",14.77K,-6.35%,"30,303.17","30,893.78","30,893.78","30,206.91",566.47M,-2.05%,"13,270.60","13,486.58","13,538.42","13,192.91",2.19B,-2.61%,"3,750.77","3,836.83","3,836.83","3,732.48",-,-2.57%,33.0
78,2021-01-26,"32,502.10","32,244.10","32,917.70","30,850.00",139.84K,0.77%,"32,519.00","32,268.10","32,735.10","31,434.00",8.54K,0.78%,"30,937.04","30,968.55","31,121.42","30,921.71",381.87M,-0.07%,"13,626.07","13,681.72","13,702.69","13,603.19",1.25B,-0.07%,"3,849.62","3,862.96","3,870.90","3,847.78",-,-0.15%,34.0
79,2021-01-25,"32,252.30","32,244.30","34,854.30","31,967.40",142.43K,0.03%,"32,268.10","32,298.00","34,693.00","32,268.10",9.23K,-0.09%,"30,960.00","30,989.85","30,989.85","30,564.06",477.35M,-0.12%,"13,635.99","13,681.21","13,728.98","13,368.68",1.43B,0.69%,"3,855.36","3,851.68","3,859.23","3,797.16",-,0.36%,40.0
80,2021-01-24,"32,241.30","32,088.50","33,034.80","30,982.90",88.21K,0.47%,"32,298.00","32,099.00","32,830.00","31,481.00",5.89K,0.62%,,,,,,,,,,,,,,,,,,,39.0
81,2021-01-23,"32,088.90","32,994.10","33,441.40","31,418.20",100.70K,-2.76%,"32,099.00","33,062.00","33,062.00","31,773.00",7.07K,-2.91%,,,,,,,,,,,,,,,,,,,42.0
82,2021-01-22,"33,000.50","30,838.70","33,821.20","28,871.20",243.09K,7.00%,"33,062.00","30,852.00","33,631.00","28,991.00",15.72K,7.09%,"30,996.98","31,141.56","31,141.56","30,908.47",436.04M,-0.57%,"13,543.06","13,474.80","13,567.14","13,463.66",1.13B,0.09%,"3,841.47","3,844.24","3,852.31","3,830.41",-,-0.30%,57.0
83,2021-01-21,"30,842.10","35,472.30","35,591.10","30,101.80",253.27K,-13.06%,"30,873.00","35,522.00","35,522.00","30,609.00",22.35K,-13.09%,"31,176.01","31,198.01","31,272.22","31,120.92",423.15M,-0.04%,"13,530.92","13,521.48","13,560.35","13,454.08",1.34B,0.55%,"3,853.07","3,857.46","3,861.45","3,845.05",-,0.03%,34.0
